ID,researcher,infantgender,infantrace,infantage_ibq,act,dl,fear,do,sl,hp,lp,sooth,fall,cud,ps,sad,app,vr,AgeGrp
1,1,1,2,26,4.8,4.125,3.5625,4.08333333333333,4.1,3.90909090909091,3.61538461538462,3.83333333333333,4.07692307692308,4.41176470588235,4.25,3.42857142857143,3.91666666666667,4.58333333333333,2
2,1,1,9,25,4.73333333333333,2.0625,1.4375,6.41666666666667,4.7,7,6.53846153846154,5.22222222222222,6.53846153846154,6.52941176470588,5.33333333333333,2.78571428571429,5.58333333333333,6.5,2
3,1,2,9,25,3.73333333333333,3.25,2.9375,3.5,3.8,5.72727272727273,4.23076923076923,4.66666666666667,2.84615384615385,3,5.16666666666667,4.57142857142857,4.25,5.08333333333333,2
4,1,2,7,25,5,4.1875,4.625,5,6.4,6,6,4.55555555555556,5.15384615384615,5.70588235294118,5,3.85714285714286,4.83333333333333,6,2
5,1,2,1,27,4.93333333333333,3.9375,2.8125,4.33333333333333,5.9,6.36363636363636,6.07692307692308,6.66666666666667,5.61538461538461,5.76470588235294,5.33333333333333,2.92857142857143,5.66666666666667,6.25,2
6,1,1,2,25,5.13333333333333,4.1875,4.5,4.58333333333333,6.1,6.45454545454545,5.92307692307692,6.83333333333333,4.61538461538461,4.88235294117647,3.41666666666667,2.85714285714286,5.66666666666667,5.91666666666667,2
7,1,1,1,26,5.53333333333333,2.25,1.1875,3.83333333333333,5.9,7,5.07692307692308,4.5,4.92307692307692,5.82352941176471,6.33333333333333,2.28571428571429,3,5.91666666666667,2
8,1,2,1,26,5.4,3,3.25,3.25,5.7,6.45454545454545,4.92307692307692,6.22222222222222,5.46153846153846,6.29411764705882,3.41666666666667,3.42857142857143,4.83333333333333,5.66666666666667,2
9,1,1,1,26,3.86666666666667,3.5625,1.5,5.41666666666667,4.6,5.63636363636364,5.30769230769231,5.22222222222222,3.46153846153846,5.17647058823529,3.16666666666667,3.14285714285714,4.66666666666667,5,2
10,1,1,1,26,3.6,2.5,1.3125,4.41666666666667,5.3,5.18181818181818,3.38461538461538,3.5,5.46153846153846,4,3,2.57142857142857,3.5,4.66666666666667,2
11,1,1,6,27,3.6,1.4375,.4375,4.08333333333333,4.2, , ,2.88888888888889,2.46153846153846,2.58823529411765,1.16666666666667, ,3.58333333333333,.583333333333333,2
12,1,1,9,26,4.53333333333333,3.3125,3,2.58333333333333,5.3,5.27272727272727,3.76923076923077,4.88888888888889,5,5.17647058823529,2.75,3.5,4.66666666666667,3.08333333333333,2
13,1,1,6,29,4.86666666666667,4.375,3.25,2.25,4.5,4.18181818181818,3.38461538461538,4.66666666666667,4.92307692307692,4.41176470588235,3.5,2.92857142857143,4,4.16666666666667,2
